Case_ID,County,BENEFIT_SPIKE_RATIO,MULTI_ADDRESS_FLAG,RECURRING_OUT_OF_STATE_TXNS,STOCKPILING_PATTERN,CARD_SHARING_PATTERN,INCOME_UNVERIFIED_FLAG,SUSPICIOUS_MERCHANT_TXNS,PROGRAM_OVERLAP_FLAG,FREQUENT_ACCOUNT_CHANGES,CASEWORKER_ALERT,SNAP_FRAUD_SCORE
SNAP1000,Hennepin,45,1,3,1,2,1,10,1,1,1,93.0
SNAP1001,Ramsey,15,0,0,0,0,0,2,0,0,0,5.0
SNAP1002,St. Louis,70,2,6,2,3,1,18,1,1,1,150.0
SNAP1003,Clay,30,1,1,0,1,0,4,0,0,0,38.0
SNAP1004,Nobles,5,0,0,0,0,0,1,0,0,0,2.0
SNAP1005,Dakota,60,1,5,1,2,1,16,1,1,1,108.0
SNAP1006,Anoka,40,1,2,1,2,1,12,0,1,0,86.0
SNAP1007,Olmsted,10,0,0,0,0,0,3,0,0,0,5.0
SNAP1008,Stearns,85,2,7,3,4,1,20,1,1,1,178.0
SNAP1009,Blue Earth,50,1,4,1,2,1,11,1,1,1,98.0
